year,label,policy,other
1958,1958年度（S.33）,0,0
1962,1962年度（S.37）,0,0
1964,1964年度（S.39）,0,0
1965,1965年度（S.40）,0,0
1966,1966年度（S.41）,0,0
1967,1967年度（S.42）,0,0
1968,1968年度（S.43）,0,0
1969,1969年度（S.44）,0,0
1970,1970年度（S.45）,0,0
1972,1972年度（S.47）,0,0
1973,1973年度（S.48）,0,0
1974,1974年度（S.49）,1,1
1975,1975年度（S.50）,4,3
1976,1976年度（S.51）,4,1
1977,1977年度（S.52）,4,1
1978,1978年度（S.53）,4,2
1979,1979年度（S.54）,3,1
1980,1980年度（S.55）,3,0
1981,1981年度（S.56）,2,0
1982,1982年度（S.57）,1,1
1983,1983年度（S.58）,1,3
1984,1984年度（S.59）,1,2
1985,1985年度（S.60）,1,1
1986,1986年度（S.61）,1,0
1987,1987年度（S.62）,4,5
1988,1988年度（S.63）,2,4
1989,1989年度（H.1）,3,0
1990,1990年度（H.2）,3,3
1991,1991年度（H.3）,2,1
1992,1992年度（H.4）,1,3
1993,1993年度（H.5）,2,0
1994,1994年度（H.6）,1,1
1995,1995年度（H.7）,3,0
1996,1996年度（H.8）,6,0
1997,1997年度（H.9）,6,9
1998,1998年度（H.10）,8,0
1999,1999年度（H.11）,19,1
2000,2000年度（H.12）,12,0
2001,2001年度（H.13）,7,4
2002,2002年度（H.14）,7,1
2003,2003年度（H.15）,6,5
2004,2004年度（H.16）,6,1
2005,2005年度（H.17）,5,1
2006,2006年度（H.18）,5,5
2007,2007年度（H.19）,6,9
2008,2008年度（H.20）,3,6
2009,2009年度（H.21）,7,6
2010,2010年度（H.22）,3,4
2011,2011年度（H.23）,0,2
2012,2012年度（H.24）,2,21
2013,2013年度（H.25）,1,51
2014,2014年度（H.26）,2,0
2015,2015年度（H.27）,2,2
2016,2016年度（H.28）,3,0
2017,2017年度（H.29）,3,8
2018,2018年度（H.30）,1,14
2019,2019年度（R.1）,2,6
2020,2020年度（R.2）,2,7
2021,2021年度（R.3）,2,3
2022,2022年度（R.4）,1,3
2023,2023年度（R.5）,5,0
2024,2024年度（R.6）,3,2
